epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.8026,0.51439,1.36746,0.86155,0.81992,0.58521,0.60658,0.57103,0.32744,0.73372,0.78458,0.00996732,0.00332244,0.00996732,0.00332244,0.00996732,0.00332244,0.00996732,0.00332244
2,92.9781,0.49894,0.72116,0.85344,0.82694,0.58403,0.61556,0.58056,0.298,0.6205,0.78591,0.0197696,0.00658988,0.0197696,0.00658988,0.0197696,0.00658988,0.0197696,0.00658988
3,130.561,0.53508,0.65487,0.86642,0.81263,0.4302,0.49297,0.44774,0.44557,1.17769,0.85605,0.029374,0.00979132,0.029374,0.00979132,0.029374,0.00979132,0.029374,0.00979132
4,167.802,0.51529,0.5936,0.86726,0.79292,0.56349,0.58571,0.55175,0.35028,0.67825,0.81281,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,206.09,0.46296,0.52253,0.85608,0.86019,0.58307,0.6454,0.61651,0.29421,0.47221,0.79364,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,245.967,0.43026,0.48382,0.84457,0.87358,0.59352,0.66085,0.6375,0.28553,0.41895,0.78925,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,283.94,0.4095,0.45029,0.84157,0.88936,0.58898,0.66948,0.64704,0.27277,0.40497,0.78532,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,321.097,0.38718,0.42506,0.83497,0.87624,0.58894,0.67178,0.65694,0.23744,0.39679,0.78254,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,358.493,0.37448,0.41759,0.83303,0.87885,0.60055,0.67612,0.65777,0.24862,0.3847,0.78229,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,396.876,0.36473,0.40474,0.82951,0.87521,0.59104,0.6507,0.63449,0.255,0.40845,0.7816,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,435.716,0.35172,0.39417,0.82693,0.90192,0.59916,0.69214,0.68089,0.22295,0.34152,0.77617,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,473.37,0.34815,0.38277,0.82714,0.88183,0.60907,0.69034,0.67856,0.20911,0.33498,0.77402,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,510.957,0.33652,0.37396,0.82388,0.88427,0.60786,0.69312,0.68487,0.2014,0.31925,0.77127,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,548.756,0.33303,0.36523,0.82046,0.87838,0.58264,0.65229,0.6398,0.22211,0.4172,0.77439,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,588.29,0.32697,0.36097,0.81972,0.90275,0.59835,0.68438,0.67432,0.19808,0.3197,0.7723,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,627.121,0.32136,0.35203,0.81853,0.90052,0.60785,0.70416,0.69444,0.207,0.31962,0.77447,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,664.967,0.31696,0.35122,0.8187,0.89948,0.59325,0.68605,0.67728,0.19556,0.34196,0.77071,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,703.707,0.31181,0.34639,0.81609,0.89443,0.56697,0.68116,0.67061,0.21462,0.47568,0.77273,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,742.845,0.30723,0.33861,0.81586,0.90061,0.60986,0.70298,0.69431,0.19518,0.29476,0.76833,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,782.794,0.3038,0.33142,0.81408,0.9123,0.60604,0.71587,0.70917,0.18321,0.28886,0.76521,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,821.452,0.29876,0.32862,0.81485,0.90377,0.60108,0.71234,0.70617,0.1783,0.30667,0.76651,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,860.106,0.29751,0.32228,0.81338,0.90966,0.59591,0.70655,0.69928,0.18607,0.32925,0.76513,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,898.518,0.2933,0.32331,0.8119,0.89854,0.61782,0.71357,0.70599,0.18496,0.27555,0.7647,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,938.383,0.29072,0.32182,0.81222,0.91315,0.6149,0.71351,0.7051,0.18395,0.2749,0.76727,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,977.483,0.28894,0.31746,0.81185,0.89527,0.61714,0.72634,0.7186,0.17209,0.28272,0.7655,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1015.82,0.28538,0.31298,0.81022,0.89454,0.61899,0.71941,0.71086,0.18657,0.2816,0.76394,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1054.39,0.28101,0.31102,0.80877,0.92816,0.60296,0.70309,0.69723,0.1755,0.27423,0.76279,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
