epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2014,0.49429,1.20396,0.84883,0.79787,0.57202,0.59211,0.55534,0.3219,0.72848,0.79218,0.000474777,0.000474777,0.000474777
2,71.9885,0.42793,0.63333,0.83885,0.8332,0.596,0.63557,0.60787,0.29504,0.62011,0.78429,0.000932278,0.000932278,0.000932278
3,103.941,0.41275,0.53671,0.83558,0.84814,0.58432,0.6326,0.60837,0.28518,0.49234,0.78261,0.00137092,0.00137092,0.00137092
4,135.507,0.40753,0.50144,0.83524,0.83045,0.57249,0.62896,0.60553,0.27822,0.4882,0.78608,0.00134412,0.00134412,0.00134412
5,168.275,0.39157,0.46753,0.83421,0.86265,0.59543,0.66026,0.63536,0.29646,0.42547,0.78628,0.00131582,0.00131582,0.00131582
6,200.495,0.3653,0.44259,0.82539,0.88016,0.59531,0.65204,0.62618,0.29214,0.43327,0.78173,0.00128753,0.00128753,0.00128753
7,232.969,0.35866,0.42705,0.82492,0.86462,0.60257,0.68231,0.66166,0.25943,0.40124,0.78079,0.00125923,0.00125923,0.00125923
8,264.63,0.34564,0.40784,0.82191,0.8545,0.59768,0.66804,0.65234,0.23542,0.42091,0.77474,0.00123094,0.00123094,0.00123094
9,295.902,0.33424,0.39529,0.82051,0.85239,0.59345,0.66503,0.64941,0.24177,0.41631,0.77581,0.00120265,0.00120265,0.00120265
10,327.885,0.33126,0.38664,0.81813,0.88626,0.59184,0.66809,0.65761,0.2089,0.38725,0.76974,0.00117435,0.00117435,0.00117435
11,360.567,0.32109,0.37675,0.81734,0.90141,0.59882,0.68088,0.66792,0.21398,0.3434,0.77021,0.00114606,0.00114606,0.00114606
12,392.493,0.31852,0.36235,0.81698,0.89194,0.58214,0.68519,0.67358,0.20541,0.40772,0.7685,0.00111776,0.00111776,0.00111776
13,424.045,0.30931,0.35945,0.81502,0.89039,0.59994,0.6889,0.67702,0.22404,0.33871,0.77429,0.00108947,0.00108947,0.00108947
14,455.517,0.30681,0.34988,0.81203,0.88342,0.5785,0.68178,0.66874,0.23311,0.38972,0.77302,0.00106118,0.00106118,0.00106118
15,487.124,0.30036,0.34485,0.81132,0.88581,0.60847,0.70704,0.69967,0.18373,0.31353,0.76574,0.00103288,0.00103288,0.00103288
16,519.5,0.29675,0.33879,0.81067,0.88913,0.61529,0.70578,0.6976,0.19738,0.318,0.767,0.00100459,0.00100459,0.00100459
17,552.044,0.29446,0.3355,0.81129,0.89932,0.61115,0.70078,0.69487,0.17942,0.30537,0.76503,0.000976293,0.000976293,0.000976293
18,583.864,0.28791,0.32979,0.80829,0.91036,0.6062,0.70662,0.69998,0.18332,0.29256,0.76432,0.000947999,0.000947999,0.000947999
19,615.51,0.28626,0.3264,0.80911,0.90501,0.60529,0.69292,0.68056,0.22335,0.31431,0.76937,0.000919704,0.000919704,0.000919704
20,647.241,0.27943,0.3167,0.80753,0.89283,0.60998,0.71756,0.71094,0.17171,0.29359,0.76328,0.00089141,0.00089141,0.00089141
21,679.499,0.2767,0.31456,0.80791,0.92101,0.60631,0.71392,0.70841,0.17209,0.27354,0.76204,0.000863116,0.000863116,0.000863116
22,712.178,0.27485,0.30783,0.80681,0.88683,0.61678,0.70722,0.70072,0.17229,0.28185,0.76191,0.000834822,0.000834822,0.000834822
23,744.028,0.27174,0.30526,0.80502,0.91281,0.60913,0.71048,0.70368,0.19216,0.29541,0.76336,0.000806528,0.000806528,0.000806528
24,775.653,0.27134,0.30566,0.80577,0.90674,0.61731,0.71594,0.71104,0.16223,0.27127,0.76066,0.000778233,0.000778233,0.000778233
25,807.086,0.26639,0.29861,0.80461,0.92593,0.6001,0.72781,0.72351,0.162,0.26691,0.76098,0.000749939,0.000749939,0.000749939
26,838.761,0.26296,0.29317,0.80381,0.90005,0.61989,0.72057,0.71522,0.16599,0.2811,0.76009,0.000721645,0.000721645,0.000721645
27,871.081,0.25812,0.29176,0.80291,0.90332,0.6081,0.72433,0.71954,0.16092,0.29611,0.75856,0.000693351,0.000693351,0.000693351
28,903.645,0.2572,0.28586,0.80302,0.90808,0.61076,0.72602,0.72139,0.15187,0.26252,0.75901,0.000665057,0.000665057,0.000665057
29,935.558,0.25449,0.28355,0.80324,0.91084,0.61216,0.72306,0.71812,0.16294,0.2616,0.7595,0.000636762,0.000636762,0.000636762
30,967.185,0.25125,0.2769,0.80197,0.91969,0.61663,0.72393,0.71943,0.15846,0.26911,0.75865,0.000608468,0.000608468,0.000608468
31,998.85,0.2518,0.27915,0.80153,0.91578,0.62192,0.72744,0.72352,0.15129,0.2538,0.75806,0.000580174,0.000580174,0.000580174
32,1030.54,0.24551,0.26804,0.80106,0.91384,0.62235,0.72659,0.72183,0.15721,0.25495,0.75886,0.00055188,0.00055188,0.00055188
33,1062.9,0.24284,0.26936,0.80031,0.92496,0.60803,0.72955,0.72622,0.15192,0.24882,0.7574,0.000523586,0.000523586,0.000523586
34,1095.79,0.24102,0.26549,0.79937,0.91715,0.61745,0.73748,0.73398,0.14958,0.24144,0.75651,0.000495291,0.000495291,0.000495291
35,1127.46,0.23858,0.26165,0.79978,0.93616,0.60913,0.73962,0.73663,0.14277,0.23691,0.75608,0.000466997,0.000466997,0.000466997
36,1159.07,0.23435,0.2566,0.79821,0.91554,0.62325,0.7421,0.73869,0.1476,0.24062,0.75748,0.000438703,0.000438703,0.000438703
37,1190.93,0.23476,0.25775,0.79907,0.92678,0.6145,0.73665,0.73255,0.15153,0.24154,0.75705,0.000410409,0.000410409,0.000410409
38,1223.32,0.23305,0.25314,0.79771,0.92131,0.61968,0.74014,0.73703,0.13629,0.23176,0.75502,0.000382115,0.000382115,0.000382115
39,1256.28,0.2309,0.24982,0.79785,0.93584,0.61432,0.74241,0.73951,0.14084,0.23182,0.7563,0.00035382,0.00035382,0.00035382
40,1289.11,0.22677,0.24825,0.7968,0.92004,0.62288,0.74029,0.73748,0.13732,0.22493,0.75612,0.000325526,0.000325526,0.000325526
41,1344.41,0.17921,0.20614,0.77005,0.92786,0.62119,0.73823,0.73495,0.1428,0.2242,0.75561,0.000297232,0.000297232,0.000297232
42,1374.94,0.17366,0.20062,0.77021,0.92745,0.62096,0.74545,0.74231,0.13423,0.22111,0.75493,0.000268938,0.000268938,0.000268938
43,1406.81,0.17071,0.19586,0.77049,0.92937,0.62061,0.74896,0.74577,0.13707,0.21908,0.75446,0.000240644,0.000240644,0.000240644
44,1438.86,0.16735,0.19093,0.76951,0.91729,0.62611,0.75123,0.74834,0.13437,0.2207,0.75443,0.000212349,0.000212349,0.000212349
45,1470.08,0.16342,0.1864,0.76885,0.93096,0.61952,0.75297,0.7502,0.1302,0.22026,0.75437,0.000184055,0.000184055,0.000184055
46,1501.43,0.16067,0.18232,0.76898,0.93966,0.61705,0.75363,0.75104,0.12907,0.21847,0.75396,0.000155761,0.000155761,0.000155761
47,1532.38,0.15853,0.18024,0.76756,0.9289,0.62354,0.75521,0.75214,0.12863,0.21584,0.75324,0.000127467,0.000127467,0.000127467
48,1562.89,0.15568,0.17561,0.76731,0.93311,0.6189,0.75756,0.75484,0.12686,0.20964,0.753,9.91726e-05,9.91726e-05,9.91726e-05
49,1594.64,0.15319,0.17228,0.76727,0.94771,0.61119,0.75624,0.75389,0.12785,0.21449,0.75333,7.08784e-05,7.08784e-05,7.08784e-05
50,1626.05,0.15053,0.16688,0.76683,0.91542,0.62988,0.75764,0.75501,0.12713,0.21334,0.7533,4.25842e-05,4.25842e-05,4.25842e-05
