epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.313,0.105,0.98799,1,0.03373,0.00033105,0.00033105,0.067226
2,40.609,0.04553,0.98799,1,0.03216,0.000657806,0.000657806,0.0342194
3,61.583,0.05943,0.99657,1,0.01053,0.000977962,0.000977962,0.00120627
4,83.1708,0.06441,0.99314,1,0.01482,0.0009703,0.0009703,0.0009703
5,104.335,0.03824,0.99485,1,0.01113,0.0009604,0.0009604,0.0009604
6,125.258,0.0294,0.99828,1,0.00543,0.0009505,0.0009505,0.0009505
7,145.776,0.03364,0.99657,1,0.01289,0.0009406,0.0009406,0.0009406
8,166.76,0.02446,0.98971,1,0.0187,0.0009307,0.0009307,0.0009307
9,187.197,0.02795,0.99657,1,0.02628,0.0009208,0.0009208,0.0009208
10,208.232,0.03026,0.99828,1,0.00303,0.0009109,0.0009109,0.0009109
11,228.494,0.02243,0.99828,1,0.00705,0.000901,0.000901,0.000901
12,249.413,0.02774,0.99828,1,0.00199,0.0008911,0.0008911,0.0008911
13,269.86,0.02436,0.98971,1,0.02468,0.0008812,0.0008812,0.0008812
14,290.704,0.02859,0.99828,1,0.00419,0.0008713,0.0008713,0.0008713
15,311.124,0.01674,1,1,0.00023,0.0008614,0.0008614,0.0008614
16,332.058,0.01634,1,1,0.00035,0.0008515,0.0008515,0.0008515
17,352.536,0.02088,0.99657,1,0.0068,0.0008416,0.0008416,0.0008416
18,373.434,0.02138,0.98799,1,0.03883,0.0008317,0.0008317,0.0008317
19,393.899,0.01518,1,1,0.00024,0.0008218,0.0008218,0.0008218
20,414.904,0.01964,1,1,5e-05,0.0008119,0.0008119,0.0008119
21,435.269,0.00938,0.98799,1,0.01675,0.000802,0.000802,0.000802
22,456.221,0.01386,1,1,0.00088,0.0007921,0.0007921,0.0007921
23,477.24,0.0179,0.99828,1,0.00277,0.0007822,0.0007822,0.0007822
24,498.763,0.01426,1,1,8e-05,0.0007723,0.0007723,0.0007723
25,519.405,0.0151,0.99657,1,0.00827,0.0007624,0.0007624,0.0007624
26,540.222,0.0152,1,1,0.00018,0.0007525,0.0007525,0.0007525
27,560.729,0.01878,1,1,0.00015,0.0007426,0.0007426,0.0007426
28,581.63,0.01025,0.99657,1,0.0064,0.0007327,0.0007327,0.0007327
29,602.08,0.01335,1,1,0.00012,0.0007228,0.0007228,0.0007228
30,622.94,0.0137,1,1,5e-05,0.0007129,0.0007129,0.0007129
