epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.1149,0.11709,1,1,0.00019,0.00995968,0.00331989,0.00995968,0.00331989,0.00995968,0.00331989,0.00995968,0.00331989
2,44.8796,0.00293,1,1,1e-05,0.0197621,0.00658736,0.0197621,0.00658736,0.0197621,0.00658736,0.0197621,0.00658736
3,64.2939,0.00612,1,1,1e-05,0.0293665,0.00978883,0.0293665,0.00978883,0.0293665,0.00978883,0.0293665,0.00978883
4,84.5561,0.01077,1,1,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,104.798,0.00797,1,1,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,125.103,0.01267,1,1,0.00012,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,145.403,0.00753,1,1,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,165.718,0.00755,1,1,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,185.94,0.00756,1,1,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,206.178,0.00524,1,1,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,226.153,0.00437,1,1,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,246.434,0.00324,1,1,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,266.989,0.00384,1,1,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,286.946,0.00298,1,1,1e-05,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,307.006,0.00494,1,1,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,327.398,0.00452,1,1,2e-05,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
