epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.0765,0.15843,1,1,0.00073,0.00995968,0.00331989,0.00995968,0.00331989,0.00995968,0.00331989,0.00995968,0.00331989
2,41.6063,0.00457,1,1,1e-05,0.0197621,0.00658736,0.0197621,0.00658736,0.0197621,0.00658736,0.0197621,0.00658736
3,61.7248,0.00474,1,1,4e-05,0.0293665,0.00978883,0.0293665,0.00978883,0.0293665,0.00978883,0.0293665,0.00978883
4,81.7032,0.00645,1,1,1e-05,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,101.134,0.00385,1,1,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,121.131,0.0042,1,1,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,141.338,0.00315,1,1,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,161.146,0.00158,1,1,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,181.178,0.00426,1,1,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,200.953,0.00082,1,1,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,220.74,0.00281,1,1,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,240.809,0.00077,1,1,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,260.725,0.00153,1,1,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,280.329,0.0018,1,1,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,300.486,0.00248,1,1,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,320.587,0.00254,1,1,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
