epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7841,0.51513,4.167,0.00291,0.90236,0.90923,0.96934,0.87128,0.46827,2.30525,0.00428,0.000662309,0.000662309,0.000662309
2,61.6467,0.54418,1.3839,0.0032,0.95828,0.93464,0.98674,0.9206,0.38038,0.29196,0.00377,0.00131582,0.00131582,0.00131582
3,82.3639,0.53514,0.63227,0.00316,0.94952,0.97145,0.99046,0.88735,0.51502,0.26496,0.00496,0.00195613,0.00195613,0.00195613
4,103.11,0.55999,0.41443,0.00335,0.96088,0.95775,0.99049,0.92148,0.3864,0.22331,0.00374,0.0019406,0.0019406,0.0019406
5,123.605,0.52097,0.3267,0.00306,0.97342,0.97416,0.99303,0.95636,0.31945,0.17098,0.00328,0.0019208,0.0019208,0.0019208
6,144.369,0.48959,0.28245,0.00296,0.97947,0.97057,0.99329,0.9208,0.40933,0.18862,0.0038,0.001901,0.001901,0.001901
7,165.018,0.47675,0.25848,0.00288,0.97818,0.98217,0.99397,0.94748,0.34552,0.16312,0.00325,0.0018812,0.0018812,0.0018812
8,185.72,0.45512,0.23774,0.00272,0.9767,0.96401,0.9914,0.96164,0.29355,0.22673,0.00289,0.0018614,0.0018614,0.0018614
9,206.531,0.4457,0.22667,0.00271,0.97955,0.97456,0.99376,0.96403,0.29866,0.14744,0.00301,0.0018416,0.0018416,0.0018416
10,227.208,0.42898,0.21252,0.00255,0.97075,0.98666,0.99388,0.9668,0.30362,0.14399,0.00282,0.0018218,0.0018218,0.0018218
11,247.856,0.43224,0.21284,0.00258,0.98895,0.98064,0.99445,0.9352,0.38174,0.15018,0.00378,0.001802,0.001802,0.001802
12,268.603,0.42422,0.18988,0.00259,0.98901,0.98538,0.99469,0.9657,0.31699,0.1354,0.00291,0.0017822,0.0017822,0.0017822
13,289.254,0.41756,0.19227,0.00247,0.98771,0.98748,0.9947,0.98161,0.24525,0.11897,0.00247,0.0017624,0.0017624,0.0017624
14,309.825,0.40784,0.18161,0.00242,0.96946,0.9936,0.99441,0.97023,0.30213,0.14214,0.00301,0.0017426,0.0017426,0.0017426
15,330.326,0.38976,0.16798,0.00232,0.98962,0.99061,0.99481,0.98641,0.216,0.09843,0.00202,0.0017228,0.0017228,0.0017228
16,351.057,0.41195,0.18854,0.00251,0.97349,0.9769,0.99351,0.98203,0.23603,0.13314,0.00226,0.001703,0.001703,0.001703
17,371.509,0.38491,0.19109,0.00234,0.98441,0.96244,0.99362,0.96444,0.3075,0.15044,0.00309,0.0016832,0.0016832,0.0016832
18,391.993,0.39183,0.17538,0.00238,0.99498,0.98435,0.99477,0.97133,0.27804,0.11194,0.00263,0.0016634,0.0016634,0.0016634
19,412.585,0.38405,0.16377,0.0023,0.99631,0.99061,0.99492,0.98117,0.24791,0.09886,0.00254,0.0016436,0.0016436,0.0016436
20,433.178,0.37694,0.16102,0.00223,0.99308,0.98592,0.99484,0.98343,0.21752,0.09958,0.00204,0.0016238,0.0016238,0.0016238
21,453.682,0.37798,0.15962,0.00224,0.98422,0.99531,0.99465,0.9802,0.26,0.10715,0.00243,0.001604,0.001604,0.001604
22,474.311,0.37625,0.15102,0.00229,0.99064,0.99399,0.99486,0.98713,0.22411,0.08826,0.00214,0.0015842,0.0015842,0.0015842
23,494.672,0.36973,0.15261,0.00221,0.99683,0.98538,0.99489,0.98923,0.21532,0.09459,0.00202,0.0015644,0.0015644,0.0015644
24,515.498,0.35954,0.14918,0.00212,0.99727,0.99218,0.99495,0.98682,0.21728,0.09401,0.00206,0.0015446,0.0015446,0.0015446
25,536.504,0.37278,0.14553,0.0022,0.99217,0.99154,0.99492,0.98682,0.19965,0.08782,0.00192,0.0015248,0.0015248,0.0015248
26,557.076,0.35736,0.14745,0.00217,0.9994,0.99531,0.995,0.97336,0.27884,0.09889,0.00255,0.001505,0.001505,0.001505
27,578.425,0.36088,0.14516,0.00214,0.99523,0.99531,0.99498,0.98716,0.20356,0.08335,0.00205,0.0014852,0.0014852,0.0014852
28,599.647,0.35085,0.14308,0.00207,0.99529,0.9917,0.99495,0.98987,0.1903,0.07978,0.00171,0.0014654,0.0014654,0.0014654
29,620.639,0.34466,0.14323,0.00204,0.9949,0.99687,0.99498,0.98456,0.21066,0.08444,0.00202,0.0014456,0.0014456,0.0014456
30,641.458,0.34832,0.14881,0.00212,0.99287,0.99531,0.99494,0.98991,0.2017,0.08162,0.00186,0.0014258,0.0014258,0.0014258
31,662.166,0.34536,0.1366,0.00204,0.99796,0.99218,0.99498,0.98962,0.20333,0.08298,0.00195,0.001406,0.001406,0.001406
32,682.872,0.34612,0.14124,0.00206,0.9953,0.99328,0.99492,0.9891,0.19577,0.0898,0.00183,0.0013862,0.0013862,0.0013862
33,703.665,0.34398,0.13836,0.00204,0.99372,0.99013,0.99487,0.98798,0.21798,0.09061,0.00204,0.0013664,0.0013664,0.0013664
34,724.544,0.3326,0.13623,0.00197,0.99658,0.99687,0.99498,0.99159,0.17933,0.0693,0.00168,0.0013466,0.0013466,0.0013466
35,745.518,0.32719,0.13084,0.00194,0.99655,0.99687,0.99497,0.98957,0.21028,0.07907,0.00198,0.0013268,0.0013268,0.0013268
36,766.473,0.3226,0.12965,0.00188,0.99686,0.99522,0.99497,0.98815,0.23838,0.08725,0.00221,0.001307,0.001307,0.001307
37,787.553,0.32502,0.12894,0.00196,0.99842,0.98897,0.99495,0.99022,0.19237,0.07723,0.00181,0.0012872,0.0012872,0.0012872
38,808.184,0.32635,0.1376,0.00191,0.99686,0.99488,0.99497,0.98977,0.21186,0.07965,0.00208,0.0012674,0.0012674,0.0012674
39,829.093,0.32664,0.13143,0.00194,0.99843,0.99321,0.99498,0.99073,0.19581,0.07646,0.00187,0.0012476,0.0012476,0.0012476
40,849.821,0.3244,0.13045,0.00195,0.9953,0.99465,0.99498,0.99161,0.16338,0.06883,0.00154,0.0012278,0.0012278,0.0012278
41,870.591,0.31409,0.12772,0.00186,0.99512,0.99687,0.99498,0.99217,0.16878,0.06692,0.00156,0.001208,0.001208,0.001208
42,891.494,0.31726,0.12588,0.00185,0.99686,0.9935,0.99498,0.99157,0.18372,0.07392,0.00171,0.0011882,0.0011882,0.0011882
43,912.136,0.30844,0.12476,0.0018,1,0.99577,0.995,0.99046,0.18003,0.06758,0.0016,0.0011684,0.0011684,0.0011684
44,932.996,0.32023,0.1269,0.0019,1,0.99463,0.995,0.99132,0.17131,0.06506,0.0016,0.0011486,0.0011486,0.0011486
45,953.772,0.31333,0.12246,0.00189,0.99282,0.99531,0.99495,0.98955,0.19747,0.07865,0.00189,0.0011288,0.0011288,0.0011288
46,974.403,0.30607,0.12022,0.00182,1,0.99471,0.995,0.99174,0.1586,0.06503,0.00149,0.001109,0.001109,0.001109
47,994.992,0.30583,0.12214,0.00185,0.99641,0.99687,0.99498,0.99037,0.16073,0.06598,0.00152,0.0010892,0.0010892,0.0010892
48,1015.63,0.30537,0.12143,0.00185,0.99843,0.99341,0.995,0.99186,0.17522,0.06731,0.00158,0.0010694,0.0010694,0.0010694
