epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3232,0.52707,1.13367,0.87101,0.98193,0.98592,0.99163,0.8996,0.4279,0.51835,0.82008,0.000662309,0.000662309,0.000662309
2,36.3986,0.51571,0.52194,0.88456,0.93173,0.99374,0.97793,0.91728,0.35317,0.70102,0.80879,0.00131582,0.00131582,0.00131582
3,51.6257,0.48808,0.39231,0.88143,0.99817,0.99531,0.99483,0.93988,0.35703,0.28631,0.81662,0.00195613,0.00195613,0.00195613
4,66.9095,0.48937,0.36555,0.88021,0.99398,0.99374,0.99483,0.93625,0.36656,0.2738,0.8193,0.0019406,0.0019406,0.0019406
5,82.5103,0.46918,0.33678,0.87894,0.99573,0.99531,0.99487,0.95126,0.33329,0.24752,0.80733,0.0019208,0.0019208,0.0019208
6,97.7036,0.4397,0.31342,0.86888,0.99968,0.99374,0.995,0.95741,0.30838,0.22386,0.80118,0.001901,0.001901,0.001901
7,112.97,0.44575,0.30826,0.87085,0.99866,0.99531,0.995,0.955,0.32102,0.23654,0.81048,0.0018812,0.0018812,0.0018812
8,128.224,0.41541,0.29349,0.86485,0.99659,0.99687,0.995,0.97427,0.27661,0.21622,0.79776,0.0018614,0.0018614,0.0018614
9,143.186,0.41218,0.28769,0.86586,0.9958,0.99687,0.99497,0.9799,0.25021,0.19471,0.79126,0.0018416,0.0018416,0.0018416
10,158.261,0.39752,0.27746,0.85407,0.99173,0.99687,0.9947,0.9697,0.29341,0.21828,0.80386,0.0018218,0.0018218,0.0018218
11,173.369,0.39704,0.27742,0.8629,0.99291,0.99531,0.99497,0.96507,0.28962,0.2061,0.80634,0.001802,0.001802,0.001802
12,188.652,0.39187,0.26573,0.85733,0.99987,0.99687,0.995,0.97703,0.25669,0.18486,0.79269,0.0017822,0.0017822,0.0017822
13,203.723,0.38182,0.26524,0.855,0.99992,0.99687,0.995,0.97842,0.24837,0.18691,0.7895,0.0017624,0.0017624,0.0017624
14,218.918,0.37426,0.25862,0.85084,0.99815,0.99687,0.995,0.9777,0.25379,0.18206,0.7913,0.0017426,0.0017426,0.0017426
15,234.07,0.36428,0.25411,0.84792,0.99843,0.99666,0.995,0.98358,0.22619,0.17389,0.78442,0.0017228,0.0017228,0.0017228
16,249.344,0.37177,0.25356,0.85153,0.99843,0.9955,0.995,0.98191,0.2315,0.20112,0.78688,0.001703,0.001703,0.001703
