epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.7353,0.11795,0.97436,1,0.09864,0.00033121,0.00033121,0.0672102
2,43.7362,0.07404,0.98077,1,0.08444,0.000657965,0.000657965,0.0342036
3,66.1164,0.06969,0.99679,1,0.06342,0.000978119,0.000978119,0.00119043
4,88.4256,0.069,0.99519,1,0.02517,0.0009703,0.0009703,0.0009703
5,110.8,0.0614,0.99199,1,0.0181,0.0009604,0.0009604,0.0009604
6,133.213,0.04089,0.9984,1,0.02814,0.0009505,0.0009505,0.0009505
7,155.57,0.02946,0.99519,1,0.01053,0.0009406,0.0009406,0.0009406
8,178.064,0.02256,0.99519,1,0.00905,0.0009307,0.0009307,0.0009307
9,200.318,0.03792,0.9984,1,0.01101,0.0009208,0.0009208,0.0009208
10,222.789,0.0381,0.99519,1,0.01609,0.0009109,0.0009109,0.0009109
11,245.053,0.02161,0.9984,1,0.01883,0.000901,0.000901,0.000901
12,267.382,0.02925,0.98397,1,0.09821,0.0008911,0.0008911,0.0008911
13,289.791,0.02862,0.99359,1,0.04041,0.0008812,0.0008812,0.0008812
14,312.147,0.02732,0.9984,1,0.01859,0.0008713,0.0008713,0.0008713
15,334.583,0.02202,0.9984,1,0.00418,0.0008614,0.0008614,0.0008614
16,357.018,0.02499,0.9984,1,0.01633,0.0008515,0.0008515,0.0008515
17,379.554,0.02662,0.99359,1,0.01434,0.0008416,0.0008416,0.0008416
18,401.821,0.01821,0.9984,1,0.00831,0.0008317,0.0008317,0.0008317
19,424.12,0.02625,0.9984,1,0.01799,0.0008218,0.0008218,0.0008218
20,446.406,0.01557,0.99679,1,0.024,0.0008119,0.0008119,0.0008119
21,468.76,0.01956,0.99679,1,0.03285,0.000802,0.000802,0.000802
