epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0923,1.17482,3.7766,0.00305,0.79949,0.77353,0.82871,0.63363,0.96978,2.14711,0.00367,0.000661871,0.000661871,0.000661871
2,51.6004,1.04058,1.54676,0.00261,0.86017,0.81386,0.88465,0.69775,0.89511,0.70446,0.0033,0.00131538,0.00131538,0.00131538
3,70.2346,0.99844,0.93251,0.00248,0.90043,0.83454,0.9104,0.72974,0.86254,0.53126,0.0033,0.0019557,0.0019557,0.0019557
4,88.868,0.97557,0.72716,0.00243,0.91341,0.85419,0.91929,0.72458,0.89907,0.55132,0.00337,0.0019406,0.0019406,0.0019406
5,107.535,0.98122,0.65421,0.00244,0.91279,0.86594,0.91556,0.72803,0.86693,0.53285,0.00323,0.0019208,0.0019208,0.0019208
6,126.136,0.92003,0.57879,0.00225,0.92102,0.86556,0.92952,0.77409,0.77125,0.46869,0.00271,0.001901,0.001901,0.001901
7,144.79,0.89068,0.55715,0.00217,0.9263,0.87073,0.93687,0.76797,0.83382,0.47176,0.00316,0.0018812,0.0018812,0.0018812
8,163.411,0.90658,0.54306,0.00225,0.93839,0.84592,0.93084,0.77752,0.76482,0.48815,0.00274,0.0018614,0.0018614,0.0018614
9,182.3,0.89298,0.529,0.00218,0.94263,0.86651,0.9437,0.78956,0.75955,0.42125,0.00274,0.0018416,0.0018416,0.0018416
10,202.024,0.86019,0.50616,0.00213,0.93755,0.8759,0.94511,0.78424,0.74797,0.43803,0.0028,0.0018218,0.0018218,0.0018218
11,221.63,0.8518,0.48743,0.00205,0.92553,0.88728,0.9399,0.79485,0.72196,0.42428,0.00259,0.001802,0.001802,0.001802
12,240.714,0.85963,0.49502,0.00208,0.93886,0.88004,0.94582,0.79886,0.73128,0.41262,0.00255,0.0017822,0.0017822,0.0017822
