epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.5593,0.53786,2.38288,0.00225,0.73119,0.55328,0.65105,0.63078,0.27538,1.15207,0.00177,0.00996732,0.00332244,0.00996732,0.00332244,0.00996732,0.00332244,0.00996732,0.00332244
2,147.139,0.49654,1.24228,0.00213,0.73176,0.57472,0.67899,0.64519,0.33767,0.87735,0.0022,0.0197696,0.00658988,0.0197696,0.00658988,0.0197696,0.00658988,0.0197696,0.00658988
3,206.029,0.54992,1.02522,0.00237,0.73804,0.58436,0.68078,0.62162,0.44404,0.89966,0.0031,0.029374,0.00979132,0.029374,0.00979132,0.029374,0.00979132,0.029374,0.00979132
4,267.819,0.55695,0.95312,0.00248,0.70971,0.62313,0.71587,0.65947,0.43482,0.83274,0.00318,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,325.814,0.52831,0.89787,0.00238,0.77383,0.61257,0.72964,0.68341,0.39942,0.76477,0.00273,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,384.749,0.5007,0.86413,0.00221,0.80913,0.5917,0.71238,0.6685,0.38129,0.80839,0.00271,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,446.7,0.48571,0.84148,0.00215,0.80009,0.60872,0.74093,0.7136,0.3072,0.73174,0.00234,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,505.849,0.46992,0.8225,0.00208,0.81225,0.59661,0.74938,0.72365,0.30752,0.73572,0.00234,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,565.487,0.46333,0.81748,0.00207,0.8373,0.61008,0.7507,0.71947,0.32906,0.73691,0.00254,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,627.261,0.45106,0.808,0.00202,0.83846,0.60333,0.7615,0.72963,0.3429,0.73473,0.00248,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,685.216,0.44437,0.80571,0.00199,0.82095,0.62439,0.76135,0.73511,0.30831,0.73943,0.00224,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,743.961,0.43519,0.79005,0.00193,0.85929,0.58323,0.74791,0.71972,0.31002,0.7039,0.00217,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,805.219,0.4276,0.78033,0.00189,0.8099,0.62428,0.77377,0.74238,0.33814,0.71043,0.00246,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,863.249,0.42919,0.77558,0.00189,0.82612,0.6272,0.76235,0.74633,0.26858,0.7155,0.00194,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,922.184,0.41746,0.77154,0.00186,0.83033,0.62933,0.76798,0.74743,0.27459,0.68785,0.002,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,984.502,0.41423,0.7611,0.00181,0.8734,0.60487,0.7592,0.73715,0.28279,0.66524,0.00195,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1042.32,0.4101,0.76013,0.00181,0.82073,0.60984,0.75535,0.73672,0.28213,0.69839,0.00204,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1100.62,0.40168,0.75508,0.00178,0.83208,0.59709,0.76164,0.74662,0.27227,0.71877,0.00203,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1163.05,0.40069,0.74475,0.00177,0.84225,0.62267,0.77924,0.75888,0.2761,0.68595,0.00194,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
