epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8928,0.53878,2.32417,0.00232,0.64435,0.57531,0.65613,0.61257,0.39344,1.08053,0.00286,0.000474777,0.000474777,0.000474777
2,110.483,0.44566,1.21656,0.00205,0.71855,0.59553,0.67736,0.6579,0.28426,0.85862,0.00205,0.000932278,0.000932278,0.000932278
3,156.798,0.43927,0.98116,0.00202,0.72069,0.61647,0.69717,0.65067,0.40224,0.84859,0.00278,0.00137092,0.00137092,0.00137092
4,202.032,0.44644,0.92801,0.00213,0.73625,0.59697,0.70976,0.67661,0.34549,0.85647,0.00263,0.00134412,0.00134412,0.00134412
5,247.646,0.43659,0.8962,0.00209,0.7858,0.59513,0.72072,0.67631,0.37764,0.77807,0.00281,0.00131582,0.00131582,0.00131582
6,295.989,0.41902,0.85764,0.00198,0.78334,0.60737,0.73661,0.71425,0.30057,0.74015,0.00245,0.00128753,0.00128753,0.00128753
7,341.529,0.40851,0.83978,0.00191,0.77603,0.634,0.76084,0.73359,0.32444,0.72503,0.00259,0.00125923,0.00125923,0.00125923
8,386.172,0.39466,0.82662,0.00184,0.78609,0.59947,0.71975,0.69322,0.31561,0.7876,0.00261,0.00123094,0.00123094,0.00123094
9,432.087,0.38722,0.81007,0.00183,0.79797,0.61896,0.74669,0.72497,0.30121,0.72338,0.00238,0.00120265,0.00120265,0.00120265
10,480.248,0.38537,0.81025,0.00184,0.79576,0.61759,0.7516,0.73651,0.26301,0.7058,0.00206,0.00117435,0.00117435,0.00117435
11,525.269,0.37314,0.79579,0.00178,0.80065,0.62706,0.76092,0.74278,0.26201,0.70862,0.00208,0.00114606,0.00114606,0.00114606
12,570.168,0.37029,0.78086,0.00174,0.81317,0.57582,0.72659,0.71288,0.26433,0.77476,0.00209,0.00111776,0.00111776,0.00111776
13,616.436,0.35928,0.77307,0.00168,0.856,0.59224,0.75264,0.7355,0.27037,0.69695,0.00206,0.00108947,0.00108947,0.00108947
14,665.036,0.35758,0.77061,0.00167,0.8286,0.62213,0.76835,0.75594,0.2371,0.6666,0.00195,0.00106118,0.00106118,0.00106118
15,710.252,0.35026,0.76419,0.00164,0.83279,0.60609,0.75972,0.74568,0.23882,0.67943,0.0018,0.00103288,0.00103288,0.00103288
16,755.087,0.34344,0.75099,0.00158,0.86503,0.59895,0.74957,0.7314,0.27982,0.67503,0.00199,0.00100459,0.00100459,0.00100459
17,801.601,0.34113,0.75781,0.0016,0.79729,0.63345,0.76954,0.76092,0.21503,0.65709,0.00159,0.000976293,0.000976293,0.000976293
18,849.103,0.33841,0.7481,0.00157,0.84459,0.62539,0.77848,0.76923,0.21919,0.6489,0.00165,0.000947999,0.000947999,0.000947999
19,893.651,0.32962,0.73944,0.00151,0.86217,0.60429,0.74769,0.73897,0.2164,0.75925,0.00163,0.000919704,0.000919704,0.000919704
20,938.387,0.32482,0.73498,0.00149,0.86607,0.62043,0.78077,0.7733,0.19681,0.64577,0.00148,0.00089141,0.00089141,0.00089141
21,985.263,0.32285,0.73599,0.0015,0.87374,0.6174,0.77293,0.76617,0.19857,0.65867,0.00147,0.000863116,0.000863116,0.000863116
